site,latitude,longitude,time,success,failure,alan
4,32.6218,-85.4728,3,0,7,2.597932993719519
4,32.6218,-85.4728,4,0,6,2.597932993719519
4,32.6218,-85.4728,5,0,6,2.597932993719519
4,32.6218,-85.4728,6,0,6,2.597932993719519
4,32.6218,-85.4728,7,0,6,2.597932993719519
4,32.6218,-85.4728,8,0,6,2.597932993719519
4,32.6218,-85.4728,9,0,6,2.597932993719519
4,32.6218,-85.4728,10,0,6,2.597932993719519
4,32.6218,-85.4728,11,0,6,2.597932993719519
4,32.6218,-85.4728,12,0,6,2.597932993719519
4,32.6218,-85.4728,13,0,6,2.597932993719519
4,32.6218,-85.4728,14,0,6,2.597932993719519
4,32.6218,-85.4728,15,1,5,2.597932993719519
4,32.6218,-85.4728,16,0,6,2.597932993719519
4,32.6218,-85.4728,17,0,6,2.597932993719519
4,32.6218,-85.4728,18,0,6,2.597932993719519
4,32.6218,-85.4728,19,0,6,2.597932993719519
4,32.6218,-85.4728,20,0,6,2.597932993719519
4,32.6218,-85.4728,21,0,6,2.597932993719519
4,32.6218,-85.4728,22,0,6,2.597932993719519
4,32.6218,-85.4728,23,0,6,2.597932993719519
4,32.6218,-85.4728,24,0,6,2.597932993719519
4,32.6218,-85.4728,25,0,6,2.597932993719519
4,32.6218,-85.4728,26,0,6,2.597932993719519
4,32.6218,-85.4728,27,0,6,2.597932993719519
4,32.6218,-85.4728,28,0,6,2.597932993719519
4,32.6218,-85.4728,29,0,6,2.597932993719519
4,32.6218,-85.4728,30,0,6,2.597932993719519
4,32.6218,-85.4728,31,1,5,2.597932993719519
4,32.6218,-85.4728,32,0,6,2.597932993719519
4,32.6218,-85.4728,33,0,6,2.597932993719519
4,32.6218,-85.4728,34,0,6,2.597932993719519
4,32.6218,-85.4728,35,0,6,2.597932993719519
4,32.6218,-85.4728,36,0,6,2.597932993719519
4,32.6218,-85.4728,37,0,6,2.597932993719519
4,32.6218,-85.4728,38,0,6,2.597932993719519
4,32.6218,-85.4728,39,0,6,2.597932993719519
4,32.6218,-85.4728,40,0,6,2.597932993719519
4,32.6218,-85.4728,41,1,5,2.597932993719519
4,32.6218,-85.4728,42,1,5,2.597932993719519
4,32.6218,-85.4728,43,0,6,2.597932993719519
4,32.6218,-85.4728,44,0,6,2.597932993719519
4,32.6218,-85.4728,45,0,6,2.597932993719519
4,32.6218,-85.4728,46,0,6,2.597932993719519
4,32.6218,-85.4728,47,0,6,2.597932993719519
4,32.6218,-85.4728,48,0,6,2.597932993719519
5,32.6218,-85.4727,1,0,6,2.597932993719519
5,32.6218,-85.4727,2,0,6,2.597932993719519
5,32.6218,-85.4727,3,0,7,2.597932993719519
5,32.6218,-85.4727,4,0,6,2.597932993719519
5,32.6218,-85.4727,5,0,6,2.597932993719519
5,32.6218,-85.4727,6,0,6,2.597932993719519
5,32.6218,-85.4727,7,0,6,2.597932993719519
5,32.6218,-85.4727,8,0,6,2.597932993719519
5,32.6218,-85.4727,9,0,6,2.597932993719519
5,32.6218,-85.4727,10,0,6,2.597932993719519
5,32.6218,-85.4727,11,0,6,2.597932993719519
5,32.6218,-85.4727,12,0,6,2.597932993719519
5,32.6218,-85.4727,13,0,6,2.597932993719519
5,32.6218,-85.4727,14,0,6,2.597932993719519
5,32.6218,-85.4727,15,0,6,2.597932993719519
5,32.6218,-85.4727,16,1,5,2.597932993719519
5,32.6218,-85.4727,17,0,6,2.597932993719519
5,32.6218,-85.4727,18,0,6,2.597932993719519
5,32.6218,-85.4727,19,0,6,2.597932993719519
5,32.6218,-85.4727,20,1,5,2.597932993719519
5,32.6218,-85.4727,21,0,6,2.597932993719519
5,32.6218,-85.4727,22,0,6,2.597932993719519
5,32.6218,-85.4727,23,1,5,2.597932993719519
5,32.6218,-85.4727,24,0,6,2.597932993719519
5,32.6218,-85.4727,25,0,6,2.597932993719519
5,32.6218,-85.4727,26,0,6,2.597932993719519
5,32.6218,-85.4727,27,0,6,2.597932993719519
5,32.6218,-85.4727,28,0,6,2.597932993719519
5,32.6218,-85.4727,29,0,6,2.597932993719519
5,32.6218,-85.4727,30,0,6,2.597932993719519
5,32.6218,-85.4727,31,0,6,2.597932993719519
5,32.6218,-85.4727,32,2,4,2.597932993719519
5,32.6218,-85.4727,33,0,6,2.597932993719519
5,32.6218,-85.4727,34,0,6,2.597932993719519
5,32.6218,-85.4727,35,0,6,2.597932993719519
5,32.6218,-85.4727,36,0,6,2.597932993719519
5,32.6218,-85.4727,37,0,6,2.597932993719519
5,32.6218,-85.4727,38,0,6,2.597932993719519
5,32.6218,-85.4727,39,0,6,2.597932993719519
5,32.6218,-85.4727,40,2,4,2.597932993719519
5,32.6218,-85.4727,41,2,4,2.597932993719519
5,32.6218,-85.4727,42,2,4,2.597932993719519
5,32.6218,-85.4727,43,1,5,2.597932993719519
5,32.6218,-85.4727,44,0,6,2.597932993719519
5,32.6218,-85.4727,45,0,6,2.597932993719519
5,32.6218,-85.4727,46,0,6,2.597932993719519
5,32.6218,-85.4727,47,0,6,2.597932993719519
5,32.6218,-85.4727,48,0,6,2.597932993719519
6,32.6218,-85.4726,1,0,6,2.597932993719519
6,32.6218,-85.4726,2,0,6,2.597932993719519
6,32.6218,-85.4726,3,0,7,2.597932993719519
6,32.6218,-85.4726,4,0,6,2.597932993719519
6,32.6218,-85.4726,5,0,6,2.597932993719519
6,32.6218,-85.4726,6,0,6,2.597932993719519
6,32.6218,-85.4726,7,0,6,2.597932993719519
6,32.6218,-85.4726,8,0,6,2.597932993719519
6,32.6218,-85.4726,9,0,6,2.597932993719519
6,32.6218,-85.4726,10,0,6,2.597932993719519
6,32.6218,-85.4726,11,0,6,2.597932993719519
6,32.6218,-85.4726,12,0,6,2.597932993719519
6,32.6218,-85.4726,13,0,6,2.597932993719519
6,32.6218,-85.4726,14,0,6,2.597932993719519
6,32.6218,-85.4726,15,0,6,2.597932993719519
6,32.6218,-85.4726,16,1,5,2.597932993719519
6,32.6218,-85.4726,17,0,6,2.597932993719519
6,32.6218,-85.4726,18,0,6,2.597932993719519
6,32.6218,-85.4726,19,0,6,2.597932993719519
6,32.6218,-85.4726,20,0,6,2.597932993719519
6,32.6218,-85.4726,21,0,6,2.597932993719519
6,32.6218,-85.4726,22,0,6,2.597932993719519
6,32.6218,-85.4726,23,1,5,2.597932993719519
6,32.6218,-85.4726,24,0,6,2.597932993719519
6,32.6218,-85.4726,25,0,6,2.597932993719519
6,32.6218,-85.4726,26,0,6,2.597932993719519
6,32.6218,-85.4726,27,1,5,2.597932993719519
6,32.6218,-85.4726,28,0,6,2.597932993719519
