system:index,avg_rad,.geo
00000000000000000099_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d_0,3.0483332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e_0,3.0483332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4_0,3.0483332,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8_0,3.0483332,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9_0,0.78333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa_0,35.729168,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab_0,1.4266666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,1.4266666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad_0,1.4266666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae_0,1.4266666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af_0,1.4266666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0_0,1.4266666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1_0,0.7866667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2_0,3.9008334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3_0,1.6375,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4_0,0.40833333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_0,0.40833333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_0,0.40833333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7_0,0.9508333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8_0,15.425,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9_0,15.425,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba_0,15.425,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb_0,6.8483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc_0,6.8483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,6.8483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be_0,6.8483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf_0,6.8483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0_0,6.8483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1_0,6.8483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2_0,6.8483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3_0,6.8483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4_0,6.8483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5_0,2.1216667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6_0,0.42833334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7_0,0.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8_0,0.41583332,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9_0,0.33583334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca_0,0.37083334,"{""type"":""MultiPoint"",""coordinates"":[]}"
